"Main ID","Incident ID",Region,"Incident Date",Year,"Reported Month","Number Dead","Minimum Estimated Number of Missing","Total Number of Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Cause of Death","Location of death","Information Source",Coordinates,"Migrantion route",URL,"UNSD Geographical Grouping","Source Quality"
2022.MMP0336,2022.MMP0336,Mediterranean,"Sat, 04/09/2022 - 12:00",2022,April,4,10,14,20,2,,2,Drowning,"Unspecified location off Sfax, Tunisia","General Directorate for National Security, Mosaique FM, Reuters, France 24","34.89139636, 11.045814","Central Mediterranean","https://www.facebook.com/photo/?fbid=307264481535801&set=a.210465034549080, https://archive.vn/zMje9, https://archive.ph/16E49, https://archive.vn/9Mnho",Uncategorized,5
2022.MMP0337,2022.MMP0337,Mediterranean,"Fri, 04/08/2022 - 12:00",2022,April,9,2,11,18,4,,4,Drowning,"Off the coast of Louata, Sfax, Tunisia - embarkation from El Amra, Sfax","Guarde Nationale, Mosaique FM, Reuters, France 24","35.04299897, 11.022543","Central Mediterranean","https://archive.vn/tfnzJ, https://archive.vn/zMje9, https://archive.ph/16E49, https://archive.vn/9Mnho",Uncategorized,5
2022.MMP0338,2022.MMP0338,Mediterranean,"Sat, 04/09/2022 - 12:00",2022,April,5,11,16,40,,,,Drowning,"Off the coast of Sabratha, Libya","Sea Watch, IOM Libya, Alarm Phone","32.81768564, 12.453429","Central Mediterranean","https://archive.ph/hNRVc, https://twitter.com/seawatch_intl/status/1513510186345975817",Uncategorized,4
2022.MMP0339,2022.MMP0339,Mediterranean,"Sat, 04/09/2022 - 12:00",2022,April,,18,18,2,,,,Drowning,"Off the coast of Surman, Libya","IOM Libya, Baj News","32.98428399, 12.581516","Central Mediterranean","https://archive.ph/sfTXn, https://archive.vn/3tjvW",Uncategorized,4
2022.MMP0343,2022.MMP0343,"Northern Africa","Thu, 04/07/2022 - 12:00",2022,April,2,,2,,,2,,Drowning,"Remains washed ashore Akhfennir, Terfaya, Morocco","Al Yaoum 24, Hespress, Azilal Zoom","28.10278008, -12.049663","Western Africa / Atlantic route to the Canary Islands","https://archive.vn/WVWBC, https://archive.vn/agLxI, https://archive.vn/qzFM1#selection-359.148-359.173",Uncategorized,3
2022.MMP0343,2022.MMP0343383,"Northern Africa","Thu, 04/07/2022 - 12:00",2022,April,5,,5,,,,,Drowning,"Remains washed ashore Akhfennir, Terfaya, Morocco","Hespress, AlBahr News, Atlas Scoop","28.10278008, -12.049663","Western Africa / Atlantic route to the Canary Islands","https://archive.vn/agLxI, https://archive.vn/UhZB1, https://archive.vn/94oz3",Uncategorized,3
2022.MMP0344,2022.MMP0344,"Western Asia","Mon, 04/11/2022 - 12:00",2022,April,4,,4,25,,,,"Vehicle accident / death linked to hazardous transport","Adilcevaz, Bitlis Province, Turkey.","Bianet, T24, Anadolu Agency","38.79547897, 42.752788",,"https://archive.ph/34OEI, https://archive.ph/Hzthr","Western Asia",3
2022.MMP0345,2022.MMP0345,Europe,"Thu, 04/07/2022 - 12:00",2022,April,1,,1,2,1,,,"Vehicle accident / death linked to hazardous transport","La Fe Hospital in Valencia, Spain - after having been in a vehicle accident on 28 March after arriving from Ukraine","Levante-EMV, SuperDeportes","39.44431651, -0.376158","Ukraine to Europe",https://archive.ph/pKVGm,"Southern Europe",1
2022.MMP0351,2022.MMP0351,"Central America","Sat, 04/02/2022 - 12:00",2022,April,3,,3,,1,2,,"Vehicle accident / death linked to hazardous transport","Doña María village in the municipality of Gualan, Zacapa, Guatemala","1-800 Migrante, Expreso, Ecuavisa","15.20710604, -89.25105",,"https://fb.watch/cnFNVLLhX_/, https://www.facebook.com/1800Migrante/videos/3091497551180034","Central America",4
2022.MMP0349,2022.MMP0349,"Central America","Mon, 04/04/2022 - 12:00",2022,April,1,,1,,,1,,"Mixed or unknown","On the Juchitán - Tehuantepec highway at kilometer 262 in the municipality of San Blas Atempa, Tehuantepec, Oaxaca, Mexico","100% Noticias Nicaragua, Radio La Primerísima Nicaragua","16.32370302, -95.226656",,"https://archive.ph/WIQ6y, https://archive.ph/7schQ","Central America",3
2022.MMP0348,2022.MMP0348,"Northern Africa","Sun, 04/10/2022 - 12:00",2022,April,,2,2,17,,2,,Violence,"Unspecified location between Dakhla and the Canary Islands - after spending 9 days at sea, departure from Dakhla, Western Sahara on 2 April","EFE, La Provincia","26.3786187, -16.770964","Western Africa / Atlantic route to the Canary Islands","https://archive.ph/RuEuu, https://archive.ph/9LOSN",Uncategorized,3
2022.MMP0354,2022.MMP0354,"Central America","Tue, 04/05/2022 - 12:00",2022,April,1,,1,1,,1,,Violence,"On Veracruz St., Municipality of Atlixco, Puebla, Mexico","15 Minutos","18.86204066, -98.432618",,https://archive.ph/4wNPS,"Central America",1
2022.MMP0350,2022.MMP0350,Caribbean,"Thu, 04/07/2022 - 12:00",2022,April,4,,4,,,,,Drowning,"Puerto de la Romana, La Romana Beach, Dominican Republic","Armada de Republica Dominicana, El Nacional República Dominicana, Hoy Republica Dominicana","18.41138746, -68.969049","Dominican Republic to Puerto Rico","https://www.facebook.com/ArmadaRD/posts/287358683580202, https://archive.ph/p026W, https://archive.ph/f7FuF",Uncategorized,5
2022.MMP0356,2022.MMP0356,"North America","Tue, 04/05/2022 - 12:00",2022,April,1,,1,1,,1,,"Accidental death","At Del Sol Medical Center in El Paso, El Paso County, Texas, USA - after falling from the border wall close to Clint, Texas on 1 April","US Border Patrol","31.56512715, -106.2794664","US-Mexico border crossing",https://archive.ph/7xv8P,"Northern America",5
2022.MMP0422,2022.MMP0422,"Central America","Sat, 04/09/2022 - 12:00",2022,April,1,,1,,,1,1,Drowning,"Rio Bravo near Camino Real International Bridge,Piedras Negras, Coahuila, Mexico",Hondudiario,"28.69749259, -100.511041","US-Mexico border crossing",https://archive.ph/ZrqmT,"Central America",1
2022.MMP0346,2022.MMP0346393,"North America","Sun, 04/10/2022 - 12:00",2022,April,1,,1,3,,1,,Drowning,"Off the coast of Ocean Beach, San Diego, San Diego County, USA","Mexican Consulate to San Diego, Associated Press, Border Report, KUSI News","32.74727124, -117.255436","US-Mexico border crossing","https://archive.ph/FNWHN, https://archive.ph/LYXUw, https://archive.ph/mlDva","Northern America",5
2022.MMP0352,2022.MMP0352394,"North America","Sun, 04/10/2022 - 12:00",2022,April,1,,1,,,1,,Drowning,"Rio Bravo at Laredo, Webb County, Texas, United States of America","Texas Nicaraguan Community, 100% Noticias Nicaragua, El Informe Nicaragua","27.50301124, -99.526763","US-Mexico border crossing","https://www.facebook.com/texas.nic.community/photos/a.118954809481496/749198093123828/, https://archive.ph/kA2BN, https://archive.ph/LOqzA","Northern America",3
2022.MMP0352,2022.MMP0352395,"Central America","Sun, 04/10/2022 - 12:00",2022,April,1,,1,,,1,,Drowning,"Rio Bravo, around Fraccionamiento la Mision, Ciudad Acuña, Coahuila, Mexico","Zócalo, Vos TV Nicaragua","29.30967015, -100.900265","US-Mexico border crossing","https://archive.ph/Quk5j, https://archive.ph/BS4VB","Central America",3
2022.MMP0346,2022.MMP0346396,"North America","Mon, 04/11/2022 - 12:00",2022,April,1,,1,,,1,,Drowning,"Remains washed ashore at Ocean Beach, San Diego, San Diego County, USA","Mexican Consulate to San Diego, Associated Press, New Haven Registern KUSI News","32.74727124, -117.255436","US-Mexico border crossing","https://archive.ph/FNWHN, https://archive.ph/BfCJe, https://archive.ph/dHClg","Northern America",5
2022.MMP0353,2022.MMP0353,"Central America","Mon, 04/11/2022 - 12:00",2022,April,1,,1,,,1,,Drowning,"Rio Bravo at Morelos, Acuña, Coahuila, Mexico",Zócalo,"29.30446461, -100.886197","US-Mexico border crossing",https://archive.ph/yK5Tw,"Central America",1
2022.MMP0357,2022.MMP0357,"Northern Africa","Sat, 01/01/2022 - 12:00",2022,January,1,,1,,,1,,"Vehicle accident / death linked to hazardous transport","Bordj Bou Arreridj, Algeria","IOM Mali","36.07135486, 4.760729",,,"Northern Africa",4
2022.MMP0358,2022.MMP0358,"Northern Africa","Tue, 01/04/2022 - 12:00",2022,January,1,,1,,,1,,Violence,"Bordj Bou Arreridj, Algeria","IOM Mali","36.07135486, 4.760729",,,"Northern Africa",4
2022.MMP0359,2022.MMP0359,"Northern Africa","Sat, 01/08/2022 - 12:00",2022,January,1,,1,,,1,,"Vehicle accident / death linked to hazardous transport","Bordj Bou Arreridj, Algeria","IOM Mali","36.07135486, 4.760729",,,"Northern Africa",4
2022.MMP0360,2022.MMP0360,"Northern Africa","Sun, 01/09/2022 - 12:00",2022,January,1,,1,,,1,,"Sickness / lack of access to adequate healthcare","Bordj Bou Arreridj, Algeria","IOM Mali","36.07135486, 4.760729",,,"Northern Africa",4
2022.MMP0361,2022.MMP0361,"Northern Africa","Sat, 01/15/2022 - 12:00",2022,January,9,,9,,3,2,4,"Accidental death","Bordj Bou Arreridj, Algeria","IOM Mali","36.07135486, 4.760729",,,"Northern Africa",4
2022.MMP0362,2022.MMP0362,"Northern Africa","Sun, 01/16/2022 - 12:00",2022,January,1,,1,,,1,,Violence,"Ouargla, Algeria","IOM Mali","31.9182922, 5.327142","Sahara Desert crossing",,"Northern Africa",4
2022.MMP0363,2022.MMP0363,"Northern Africa","Mon, 01/17/2022 - 12:00",2022,January,1,,1,,,,1,"Sickness / lack of access to adequate healthcare","Bordj Bou Arreridj, Algeria","IOM Mali","36.07135486, 4.760729",,,"Northern Africa",4
2022.MMP0364,2022.MMP0364,"Western Africa","Wed, 02/02/2022 - 12:00",2022,February,16,,16,,3,5,8,"Sickness / lack of access to adequate healthcare","At Tessalit, Mali - close to the border with Algeria","IOM Mali","20.24767771, 0.999209","Sahara Desert crossing",,"Western Africa",4
2022.MMP0365,2022.MMP0365,"Western Africa","Tue, 02/22/2022 - 12:00",2022,February,1,,1,,,1,,Violence,"Nouakchott, Mauritania","IOM Mali","18.08278656, -16.000949","Western Africa / Atlantic route to the Canary Islands",,"Western Africa",4
2022.MMP0366,2022.MMP0366,"Western Africa","Mon, 02/28/2022 - 12:00",2022,February,1,,1,,,1,,"Sickness / lack of access to adequate healthcare","Nouakchott, Mauritania","IOM Mali","18.08278656, -16.000949","Western Africa / Atlantic route to the Canary Islands",,"Western Africa",4
2022.MMP0367,2022.MMP0367,"Northern Africa","Tue, 03/01/2022 - 12:00",2022,March,1,,1,,,1,,Violence,"Bordj Bou Arreridj, Algeria","IOM Mali","36.07135486, 4.760729",,,"Northern Africa",4
2022.MMP0368,2022.MMP0368,Mediterranean,"Fri, 04/15/2022 - 12:00",2022,April,6,29,35,,,,,Drowning,"Unspecified location off Sabratah, Libya","IOM Libya","32.89145977, 12.487412","Central Mediterranean",,Uncategorized,4
2022.MMP0369,2022.MMP0369,"South-eastern Asia","Wed, 04/13/2022 - 12:00",2022,April,1,,1,53,,,,Violence,"unspecified location between Hpa-An city and Myawaddy town, Myanmar","Matichon Online, Siamrath","16.64981965, 97.954177",,"https://archive.vn/mc81y, https://siamrath.co.th/n/339721","South-eastern Asia",3
2022.MMP0371,2022.MMP0371,Europe,"Sat, 04/16/2022 - 12:00",2022,April,2,,2,8,,2,,Drowning,"River Mrežnica at Svojići and Donje Dubrave, Karlovac County, Croatia","Ministry of Interior Police directorate Karlovac County, Croatian Radiotelevision, N1, RTL television","45.301097, 15.39508","Western Balkans","https://archive.ph/qnNsb, https://archive.ph/cwteO, https://archive.ph/vbE6L, https://archive.ph/z4tCM","Southern Europe",5
2022.MMP0372,2022.MMP0372,Mediterranean,"Tue, 04/19/2022 - 12:00",2022,April,0,5,5,31,,,,Drowning,"Boat capsized off the coast of Samos, Greece and was pushed back to Turkish territory. Boat departed from Kuşadası, Turkey","Turkish Coast Guard","37.80051786, 27.04366141","Eastern Mediterranean",https://archive.ph/0IjB4,Uncategorized,5
2022.MMP0373,2022.MMP0373,Caribbean,"Mon, 04/04/2022 - 12:00",2022,April,,27,27,,,,,Drowning,"Sánchez 32000, Samaná Bay,Dominican Republic","Armada de República Dominicana,Listin Diario DO,Noticias Sin,Hoy República Dominicana","19.22470271, -69.615457",,"https://bit.ly/3vx2bjp, https://archive.ph/R0Z6x, https://archive.ph/GeZUy, https://archive.ph/usZIz",Uncategorized,5
2022.MMP0355,2022.MMP0355,"North America","Mon, 04/11/2022 - 12:00",2022,April,1,,1,,1,,,"Accidental death","At the border wall 10 miles west of Douglas, Cochise County, Arizona, USA","Cochise County Sheriff's Office, Fronteras Desk","31.338277, -109.362154","US-Mexico border crossing","https://www.facebook.com/CochiseSO/posts/353316886830029, https://archive.ph/7YI0O","Northern America",5
2022.MMP0374,2022.MMP0374,"Central America","Tue, 04/12/2022 - 12:00",2022,April,2,,2,,,2,,Drowning,"San Felipe Port, Yucatan, Mexico","24 Horas Yucatan,Periodico Cubano,Diario de Cuba","21.56954132, -88.233528",,"https://archive.ph/V7qNo, https://archive.ph/ShYnM, https://archive.ph/JiLAI","Central America",3
2022.MMP411,2022.MMP411,"Central America","Tue, 04/12/2022 - 12:00",2022,April,1,,1,,,1,,Drowning,"Rio Bravo near lnternational Bridge II, Piedras Negras, Coahuila de Zaragoza, Mexico","Noticias RCN, El Tiempo","28.69742543, -100.5111049","US-Mexico border crossing","https://archive.ph/fvPRS, https://archive.ph/1EvEv","Central America",3
2022.MMP0375,2022.MMP0375,"North America","Wed, 04/13/2022 - 12:00",2022,April,1,,1,,,1,,Drowning,"Rio Bravo in Eagle Pass, Maverick County,Texas, USA","TN 23 Guatemala, Chapin TV","28.70921971, -100.509525","US-Mexico border crossing","https://archive.ph/NYQxn, https://archive.ph/FkPnt","Northern America",3
2022.MMP0376,2022.MMP0376,"Central America","Wed, 04/13/2022 - 12:00",2022,April,1,,1,,,1,,Drowning,"Rio Bravo near lnternational Bridge II, Piedras Negras, Coahuila de Zaragoza, Mexico","GMN Noticias","28.69742543, -100.511105","US-Mexico border crossing",https://archive.ph/bFkIY,"Central America",1
2022.MMP0377,2022.MMP0377,"Central America","Wed, 04/13/2022 - 12:00",2022,April,1,,1,,,1,,Drowning,"Malecón de Playas de Tijuana, near border wall, Tijuana, Baja California,Mexico","El Heraldo de Mexico, Cibercuba, Cubanos por el Mundo","32.53427077, -117.123732","US-Mexico border crossing","https://archive.ph/EqEap, https://archive.ph/yXd4d, https://archive.ph/zZS4U","Central America",3
2022.MMP0423,2022.MMP0423,"North America","Wed, 04/13/2022 - 12:00",2022,April,1,,1,,,1,,"Accidental death","Near La Paloma,Cameron County, Texas","5 KRGV News","26.03463634, -97.672268","US-Mexico border crossing",https://archive.ph/uIbWs,"Northern America",1
2022.MMP0378,2022.MMP0378,"North America","Thu, 04/14/2022 - 12:00",2022,April,2,,2,,,2,,Drowning,"Rio Bravo in Eagle Pass, Maverick County, Texas, USA",Zócalo,"28.70921971, -100.509525","US-Mexico border crossing","https://archive.ph/XFwHY, https://archive.ph/mN7i9","Northern America",3
2022.MMP0379,2022.MMP0379,"Central America","Thu, 04/14/2022 - 12:00",2022,April,1,,1,,,1,,Drowning,"Rio Bravo, Morelos Colony, Acuña, Coahuila, Mexico",Zócalo,"29.30446461, -100.886197","US-Mexico border crossing",https://archive.ph/z7wj0,"Central America",1
2022.MMP0380,2022.MMP0380,"North America","Thu, 04/14/2022 - 12:00",2022,April,1,,1,,1,,,Drowning,"Jackson Road & Military Highway, Parr, Hidalgo County, Texas 78577, USA","Noticias Ya","26.09736015, -98.221172","US-Mexico border crossing",https://archive.ph/0uMFH,"Northern America",1
2022.MMP0381,2022.MMP0381,"Central America","Fri, 04/15/2022 - 12:00",2022,April,1,,1,,,1,,"Harsh environmental conditions / lack of adequate shelter, food, water","Guerrero,Coahuila de Zaragoza, Mexico",Zócalo,"28.39041951, -100.348481","US-Mexico border crossing",https://archive.ph/xJteg,"Central America",1
2022.MMP0382,2022.MMP0382,"North America","Fri, 04/15/2022 - 12:00",2022,April,1,,1,,,,,Drowning,"Rio Bravo near Water Works sistem, Eagle Pass, Maverick County, Texas, USA",Zócalo,"28.7168439, -100.506293","US-Mexico border crossing",https://archive.ph/djrSn,"Northern America",1
2022.MMP0424,2022.MMP0424,"North America","Fri, 04/15/2022 - 12:00",2022,April,1,,1,,1,,,"Vehicle accident / death linked to hazardous transport","Highway 281 north of San Manuel,Lynn County,Texas,United States of America","US Border Patrol","26.62944979, -98.112514","US-Mexico border crossing",https://archive.ph/xQaYx,"Northern America",5
2022.MMP407,2022.MMP407,"Central America","Sat, 04/16/2022 - 12:00",2022,April,,1,1,,,1,,Drowning,"Rio Bravo near Black Railroad Bridge (Puente Negro del Ferrocarril), Piedras Negras, Coahuila, Mexico",Cibercuba,"28.70505078, -100.5122816","US-Mexico border crossing",https://archive.ph/ojmo8,"Central America",1
2022.MMP0383,2022.MMP0383,"Central America","Sun, 04/17/2022 - 12:00",2022,April,1,,1,,,1,,Drowning,"Rio Bravo near Guardados de Arriba Colony, Miguel Aleman, Tamaulipas, Mexico","Hoy Tamaulipas, El Mañana","26.37910974, -98.956948","US-Mexico border crossing","https://archive.ph/MqKCN, https://archive.ph/4mTOS","Central America",3
2022.MMP0384,2022.MMP0384,"Central America","Sun, 04/17/2022 - 12:00",2022,April,1,,1,,,1,,Drowning,"Rio Bravo near Isla del Mudo, Piedras Negras, Coahuila de Zaragoza, Mexico",Zócalo,"28.72898236, -100.508742","US-Mexico border crossing",https://archive.ph/KlqBp,"Central America",1
2022.MMP390,2022.MMP390,"South-eastern Asia","Fri, 04/15/2022 - 12:00",2022,April,5,2,7,13,,,,Drowning,"unspecified location off the coast of Pulau Tanduoan, Malayisa","BH Online","3.796393244, 103.4092111",,https://archive.vn/K5eeu,"South-eastern Asia",1
2022.MMP391,2022.MMP391435,"South-eastern Asia","Wed, 04/20/2022 - 12:00",2022,April,6,,6,521,3,3,2,"Accidental death","A highway around 6-7 km. from the Sungai Bakap Temporary Detention Centre in Bandar Baharu, Kedah, Malaysia","Reuters, The Edge Markets, Radio Free Asia, (AFP via)The Jakarta Post, New Straits Times, Free Malaysia Today","5.228970838, 100.5531264",,"https://archive.ph/2xBIt, https://archive.vn/7P7hM, https://archive.ph/yuleJ, https://archive.ph/ZpwMW, https://archive.vn/DYtX3, https://www.freemalaysiatoday.com/category/nation/2022/04/27/another-rohingya-detainee-dies-after-fleeing-immigration-depot/","South-eastern Asia",3
2022.MMP391,2022.MMP391436,"South-eastern Asia","Wed, 04/27/2022 - 12:00",2022,April,1,,1,,1,,1,"Accidental death","In a hospital, 7 days after being hit by vehicles when fleeing from the Sungai Bakap Temporary Detention Centre in Bandar Baharu, Kedah, Malaysia","Reuters, The Edge Markets, Radio Free Asia, (AFP via)The Jakarta Post, New Straits Times, Free Malaysia Today","5.228970838, 100.5531264",,"https://archive.ph/2xBIt, https://archive.vn/7P7hM, https://archive.ph/yuleJ, https://archive.ph/ZpwMW, https://archive.vn/DYtX3, https://www.freemalaysiatoday.com/category/nation/2022/04/27/another-rohingya-detainee-dies-after-fleeing-immigration-depot/","South-eastern Asia",3
2022.MMP392,2022.MMP392,Mediterranean,"Sat, 04/23/2022 - 12:00",2022,April,1,38,39,45,,,1,Drowning,"Approx. 3 miles West Ramkeen Islands, Tripoli, Lebanon","Lebanese Army, IOM, UNHCR, Reuters, AlJazeera","34.46846729, 35.729883","Eastern Mediterranean","https://archive.vn/eJvwm, https://archive.ph/QLU2o, https://archive.ph/ox9vN, https://archive.ph/usc7g",Uncategorized,4
2022.MMP393,2022.MMP393,Mediterranean,"Sat, 04/23/2022 - 12:00",2022,April,12,14,26,98,,,,Drowning,"Off Sfax, Tunisia - embarkation of four boats from Al Amra and Jebiniana, Sfax on night between 22 and 23 April","IOM Tunisia, Reuters","35.00161321, 10.971276","Central Mediterranean","https://archive.vn/wip/3CTqM, https://archive.vn/HHeI7",Uncategorized,4
2022.MMP394,2022.MMP394,Mediterranean,"Sun, 04/24/2022 - 12:00",2022,April,1,,1,65,,,,Drowning,"Unspecified location in the Mediterrenean - disembarkation at Misfat Al Zawiya, Libya, embarkation from Sabratha on 23 Apr 21:00","IOM Libya","32.79283444, 12.677462","Central Mediterranean",,Uncategorized,4
2022.MMP395,2022.MMP395,Mediterranean,"Mon, 04/25/2022 - 12:00",2022,April,,12,12,94,,,,Drowning,"Off the coasts of Libya - location of rescue 33 13.5 N 014 01.1 E","SOS Méditerranée","33.14699825, 14.021359","Central Mediterranean",https://archive.vn/vJWCQ,Uncategorized,4
2022.MMP396,2022.MMP396,"Western Asia","Mon, 04/25/2022 - 12:00",2022,April,2,,2,11,,,,"Vehicle accident / death linked to hazardous transport","Bus overturned near the village of Büvetli, Diyadin, Ağrı, Turkey","Turkey Alaan, Diyaddinet","39.59241948, 43.774809","Turkey-Europe land route","https://archive.vn/nmOUz, https://archive.vn/tSGcB","Western Asia",3
